Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uf","C_1206_3216Metric",128.620000,-89.640000,180.000000,bottom
"C24","22uf","C_1206_3216Metric",135.380000,-89.740000,0.000000,bottom
"C30","22uf","C_1206_3216Metric",135.590000,-85.650000,0.000000,bottom
"C41","10uf","C_0805_2012Metric",153.370000,-87.760000,0.000000,bottom
"C43","10uf","C_1206_3216Metric",158.560000,-89.760000,90.000000,bottom
"C44","10uf","C_1206_3216Metric",158.560000,-84.430000,-90.000000,bottom
"C46","100nf","C_1206_3216Metric",133.820000,-105.480000,90.000000,bottom
"C47","100nf","C_1206_3216Metric",144.010000,-105.455000,90.000000,bottom
"R24","51k","R_0805_2012Metric",139.600000,-89.950000,180.000000,bottom
"R31","51k","R_0805_2012Metric",139.720000,-85.461173,180.000000,bottom
"R64","1k","R_0805_2012Metric",155.107500,-93.290000,0.000000,bottom
"R65","1k","R_0805_2012Metric",154.400000,-83.070000,0.000000,bottom
"RV1","2k","Potentiometer_Vishay_TS53YL_Vertical",117.200000,-88.300000,0.000000,bottom
"U4","OPA1612AxD","SOIC-8_3.9x4.9mm_P1.27mm",139.000000,-104.600000,180.000000,bottom
