Ref,Val,Package,PosX,PosY,Rot,Side
"R1","1k","R_0805_2012Metric",146.637453,-79.841173,0.000000,top
"R2","1k","R_0805_2012Metric",127.257453,-96.311173,90.000000,top
"R3","10k","R_0805_2012Metric",125.027453,-96.348673,90.000000,top
"R4","3.3K","R_0805_2012Metric",109.407453,-98.481173,90.000000,top
"R5","270k","R_0805_2012Metric",121.090000,-98.433673,90.000000,top
"R6","6.8k","R_0805_2012Metric",110.437453,-95.751173,0.000000,top
"R7","33k","R_0805_2012Metric",113.994953,-95.761173,0.000000,top
"R8","4.7k","R_0805_2012Metric",117.577453,-95.751173,0.000000,top
"R9","150k","R_0805_2012Metric",118.520000,-92.740000,90.000000,top
"R10","33k","R_0805_2012Metric",113.677453,-98.491173,-90.000000,top
"R11","150k","R_0805_2012Metric",118.480000,-83.630000,-90.000000,top
"R12","270k","R_0805_2012Metric",120.500000,-78.142500,-90.000000,top
"R13","33k","R_0805_2012Metric",113.932453,-78.106173,-90.000000,top
"R14","4.7k","R_0805_2012Metric",117.734953,-80.946173,0.000000,top
"R15","33k","R_0805_2012Metric",114.274953,-80.946173,0.000000,top
"R16","6.8k","R_0805_2012Metric",110.764953,-80.946173,0.000000,top
"R17","3.3K","R_0805_2012Metric",109.902453,-78.046173,90.000000,top
"R18","10k","R_0805_2012Metric",125.117453,-79.421173,-90.000000,top
"R19","1k","R_0805_2012Metric",127.557453,-79.428673,-90.000000,top
"R20","560R","R_0805_2012Metric",150.620000,-79.620000,0.000000,top
"R21","560R","R_0805_2012Metric",151.720000,-96.140000,90.000000,top
"R22","330R","R_0805_2012Metric",137.697453,-96.348673,90.000000,top
"R23","15k","R_0805_2012Metric",142.797453,-96.088673,90.000000,top
"R25","51k","R_0805_2012Metric",133.150000,-96.330000,-90.000000,top
"R26","15k","R_0805_2012Metric",131.187453,-96.343673,-90.000000,top
"R27","15k","R_0805_2012Metric",129.640000,-103.640000,-90.000000,top
"R28","51k","R_0805_2012Metric",127.460000,-103.690000,-90.000000,top
"R29","330R","R_0805_2012Metric",137.747453,-78.861173,-90.000000,top
"R30","22k","R_0805_2012Metric",167.606250,-111.862500,90.000000,top
"R32","15k","R_0805_2012Metric",142.717453,-79.178673,-90.000000,top
"R33","270R","R_0805_2012Metric",167.800000,-107.977500,90.000000,top
"R34","56k","R_0805_2012Metric",160.820000,-110.565000,0.000000,top
"R35","270R","R_0805_2012Metric",162.520000,-104.532500,90.000000,top
"R36","2k","R_0805_2012Metric",164.870000,-104.555000,90.000000,top
"R37","100R","R_0805_2012Metric",172.200000,-101.030000,-90.000000,top
"R38","22k","R_0805_2012Metric",163.560000,-96.755000,-90.000000,top
"R39","56k","R_0805_2012Metric",163.260000,-100.560000,90.000000,top
"R40","270R","R_0805_2012Metric",169.340000,-99.760000,0.000000,top
"R41","2k","R_0805_2012Metric",169.352500,-101.747500,0.000000,top
"R42","270R","R_0805_2012Metric",161.340000,-96.735000,-90.000000,top
"R48","100R","R_0805_2012Metric",162.500000,-85.360000,180.000000,top
"R49","100R","R_0805_2012Metric",162.032500,-90.050000,180.000000,top
"R50","4.1k","R_0805_2012Metric",155.100000,-93.300000,180.000000,top
"R51","100k","R_0805_2012Metric",157.150000,-80.337500,90.000000,top
"R52","100k","R_0805_2012Metric",159.250000,-80.360000,-90.000000,top
"R53","4.1k","R_0805_2012Metric",154.420000,-83.040000,180.000000,top
"R54","200k","R_0805_2012Metric",154.510000,-95.440000,180.000000,top
"R55","200k","R_0805_2012Metric",154.180000,-79.660000,0.000000,top
"R56","200k","R_0805_2012Metric",147.167500,-104.380000,180.000000,top
"R57","200k","R_0805_2012Metric",147.050000,-102.350000,0.000000,top
"R58","100R","R_0805_2012Metric",134.760000,-103.820000,-90.000000,top
"R59","100R","R_0805_2012Metric",142.870000,-103.682500,-90.000000,top
"R60","100R","R_0805_2012Metric",157.940000,-104.120000,180.000000,top
"R61","100R","R_0805_2012Metric",160.810000,-112.790000,0.000000,top
"R62","100k","R_0805_2012Metric",150.702500,-104.350000,0.000000,top
"R63","100k","R_0805_2012Metric",150.687500,-102.340000,180.000000,top
