"Reference","Qty","Value","JLCPCB Part","Footprint","Datasheet"
"C7,C16","2","330pf","","Capacitor_SMD:C_0805_2012Metric","~"
"C25,C31","2","2.7nF","","Capacitor_SMD:C_0805_2012Metric","~"
"C8,C9,C14,C15","4","3.3nf","","Capacitor_SMD:C_0805_2012Metric","~"
"C23,C26,C28,C32","4","6.8nf","","Capacitor_SMD:C_0805_2012Metric","~"
"C20,C22","2","10nf","","Capacitor_SMD:C_0805_2012Metric","~"
"C5,C18,C19,C21","4","33nf","","Capacitor_SMD:C_0805_2012Metric","~"
"C27,C29","2","0.1uf","","Capacitor_SMD:C_1206_3216Metric","~"
"C46,C47","2","100nf","","Capacitor_SMD:C_1206_3216Metric","~"
"C10,C11,C12,C13","4","100n","","Capacitor_SMD:C_1206_3216Metric","~"
"C6,C17","2","0.47uf","","Capacitor_SMD:C_1206_3216Metric","~"
"C4","1","1uf","","Capacitor_SMD:C_0805_2012Metric","~"
"C1,C2,C39,C40,C43,C44","6","10uf","","Capacitor_SMD:C_1206_3216Metric","~"
"C3,C33,C34,C35,C36,C38,C41,C42,C45,C50","10","10uf","","Capacitor_SMD:C_0805_2012Metric","~"
"C24,C30","2","22uf","","Capacitor_SMD:C_1206_3216Metric","~"
"C37","1","100uf","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"R37,R48,R49,R58,R59,R60,R61","7","100R","C17408","Resistor_SMD:R_0805_2012Metric","~"
"R33,R35,R40,R42","4","270R","C17590","Resistor_SMD:R_0805_2012Metric","~"
"R22,R29","2","330R","C17630","Resistor_SMD:R_0805_2012Metric","~"
"R20,R21","2","560R","C28636","Resistor_SMD:R_0805_2012Metric","~"
"R1,R2,R19","3","1k","C17513","Resistor_SMD:R_0805_2012Metric","~"
"R64,R65","2","1k","C17513","Resistor_SMD:R_0805_2012Metric","~"
"R36,R41","2","2k","C17604","Resistor_SMD:R_0805_2012Metric","~"
"RV1","1","2k","","Potentiometer_SMD:Potentiometer_Vishay_TS53YL_Vertical","~"
"R4,R17","2","3.3K","C26010","Resistor_SMD:R_0805_2012Metric","~"
"R8,R14,R50,R53","4","4.7k","C17673","Resistor_SMD:R_0805_2012Metric","~"
"R6,R16","2","6.8k","C17772","Resistor_SMD:R_0805_2012Metric","~"
"R3,R18","2","10k","C17414","Resistor_SMD:R_0805_2012Metric","~"
"R23,R26,R27,R32","4","15k","C17475","Resistor_SMD:R_0805_2012Metric","~"
"R30,R38","2","22k","C17560","Resistor_SMD:R_0805_2012Metric","~"
"R7,R10,R13,R15","4","33k","C17633","Resistor_SMD:R_0805_2012Metric","~"
"R24,R31","2","51k","C17737","Resistor_SMD:R_0805_2012Metric","~"
"R25,R28","2","51k","C17737","Resistor_SMD:R_0805_2012Metric","~"
"R34,R39","2","56k","C17756","Resistor_SMD:R_0805_2012Metric","~"
"R51,R52,R62,R63","4","100k","C149504","Resistor_SMD:R_0805_2012Metric","~"
"R9,R11","2","150k","C17470","Resistor_SMD:R_0805_2012Metric","~"
"R54,R55,R56,R57","4","200k","C17539","Resistor_SMD:R_0805_2012Metric","~"
"R5,R12","2","270k","C17589","Resistor_SMD:R_0805_2012Metric","~"
"J3","1","batt","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q3,Q6","2","BC848","","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"Q4,Q5","2","BCV62","","Package_TO_SOT_SMD:SOT-143","https://assets.nexperia.com/documents/data-sheet/BCV62.pdf"
"F1","1","Fuse_Small","","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"J4","1","input line","","LIB_JY039-5P__FC68133_:JY0395PFC68133","https://www.cliffuk.co.uk/products/jacksockets/fc68131.pdf"
"J1","1","input mic","","LIB_JY039-5P__FC68133_:JY0395PFC68133","https://www.cliffuk.co.uk/products/jacksockets/fc68131.pdf"
"H1,H2,H3,H4","4","MountingHole","","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~"
"Q1,Q2","2","NPN","","Package_TO_SOT_THT:TO-92","KSC1845"
"U3,U4","2","OPA1612AxD","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa1612.pdf"
"J2","1","output","","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~"
"S1","1","SL19-123","","SL19-123:SL19123","https://www.tme.eu/Document/8790ddf534d60e194ea4328cb05e27d2/sl19123.pdf"
"TP1,TP3","2","TestPoint","","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"U1","1","~","","Package_DIP:DIP-22_W10.16mm_LongPads",""
